timestamp,bse_code,company_name,status,n_total,n_reg30,note
2026-07-19T03:29:58.916359,500325,RELIANCE INDUSTRIES LTD.,done,1407,359,
2026-07-19T03:43:40.876299,500180,HDFC BANK LTD.,done,916,432,
2026-07-19T12:33:07.954779,532454,BHARTI AIRTEL LTD.,done,1227,952,
2026-07-19T14:01:13.841888,543320,Eternal Limited,done,438,154,
2026-07-19T14:15:47.760950,500440,HINDALCO INDUSTRIES LTD.,done,838,347,
2026-07-19T14:50:31.557303,542752,AFFLE (INDIA) LIMITED,done,592,405,
2026-07-19T14:55:31.418813,542011,Gareden Reach Shipbuilders & Engineers Limited,done,364,170,
2026-07-19T15:04:52.148099,500049,Bharat Electronics Limited,done,440,252,
2026-07-19T15:09:15.562203,540678,COCHIN SHIPYARD LIMITED,done,334,103,
2026-07-19T15:18:47.869220,543530,PARADEEP PHOSPHATES LIMITED,done,425,242,
2026-07-19T15:26:04.248868,506285,BAYER CROPSCIENCE LIMITED,done,475,166,
2026-07-19T15:33:55.459975,500125,E.I.D.- PARRY (INDIA) LIMITED,done,437,176,
2026-07-19T15:42:01.874774,543238,UTI Asset Management Company Limited,done,531,318,
2026-07-19T15:50:09.888712,543415,Anand Rathi Wealth Limited,done,544,247,
2026-07-19T15:51:38.060093,500266,Maharashtra Scooters Limited,done,276,38,
2026-07-19T16:10:57.757375,500570,Tata Motors Limited,done,1248,507,
2026-07-19T16:38:37.131831,500520,MAHINDRA & MAHINDRA LIMITED,done,1398,779,
2026-07-19T17:00:41.784752,500182,HERO MOTOCORP LIMITED,done,866,535,
2026-07-19T17:10:57.747002,543300,SONA BLW PRECISION FORGINGS LIMITED,done,452,215,
2026-07-19T17:16:29.967062,520056,TVS Holdings Limited,done,449,116,
2026-07-19T17:22:07.956724,543276,CRAFTSMAN AUTOMATION LIMITED,done,504,318,
2026-07-19T17:22:33.927552,500493,BHARAT FORGE LIMITED,done,783,369,
2026-07-19T17:22:46.637228,500877,Apollo Tyres Limited,done,502,227,
2026-07-19T17:23:03.694874,500530,BOSCH LIMITED,done,533,250,
2026-07-19T17:23:28.907781,532648,YES BANK LIMITED,done,813,537,
2026-07-19T17:24:04.733481,500469,THE FEDERAL BANK LIMITED,done,1150,753,
2026-07-19T17:24:35.228526,532477,UNIONBANK,done,1078,314,
2026-07-19T17:24:51.150071,532497,RADICO KHAITAN LIMITED,done,539,306,
2026-07-19T17:25:09.336915,543334,NUVOCO VISTAS CORPORATION LIMITED,done,543,385,
2026-07-19T17:25:38.212936,500425,AMBUJA CEMENTS LIMITED,done,836,316,
2026-07-19T17:25:52.722550,500410,ACC LIMITED,done,533,249,
2026-07-19T17:26:05.415931,500233,KAJARIA CERAMICS LIMITED,done,496,225,
2026-07-19T17:26:20.427282,509930,The Supreme Industries Limited,done,640,123,
2026-07-19T17:26:39.291945,543235,Angel One Limited,done,777,466,
2026-07-19T17:26:50.323181,506401,Deepak Nitrite Limited,done,439,110,
2026-07-19T17:27:07.184607,500645,Deepak Fertilisers and Petrochemicals Corporation Limited,done,545,297,
2026-07-19T17:27:19.209236,500164,Godrej Industries Limited,done,394,104,
2026-07-19T17:27:33.360760,503806,SRF LIMITED,done,436,196,
2026-07-19T17:27:48.377806,500034,BAJAJ FINANCE LIMITED,done,554,331,
2026-07-19T17:27:55.165754,500106,IFCI Limited,done,295,74,
2026-07-19T17:28:10.916899,532636,IIFL FINANCE LIMITED,done,696,427,
2026-07-19T17:28:16.562831,543257,INDIAN RAILWAY FINANCE CORPORATION LIMITED,done,390,172,
2026-07-19T17:28:24.635224,511243,CHOLAMANDALM INVESTMENT AND FINANCE COMPANY LIMITED,done,500,272,
2026-07-19T17:28:33.646442,543663,Five-Star Business Finance Limited,done,624,424,
2026-07-19T17:28:43.656878,539268,Syngene International Limited,done,657,423,
2026-07-19T17:28:52.050199,543245,GLAND PHARMA LIMITED,done,554,337,
2026-07-19T17:29:01.569581,539523,ALKEM LABORATORIES LIMITED,done,618,410,
2026-07-19T17:29:15.737945,533573,Alembic Pharmaceuticals Limited,done,772,387,
2026-07-19T17:29:31.953766,524715,Sun Pharmaceutical Industries Limited,done,733,302,
2026-07-19T17:29:40.142426,540596,Eris Lifesciences Limited,done,474,254,
2026-07-19T17:29:47.447133,506943,JB Chemicals & Pharmaceuticals Limited,done,498,254,
2026-07-19T17:29:52.366075,532300,Wockhardt Limited,done,339,125,
2026-07-19T17:30:01.351717,543187,HITACHI ENERGY INDIA LIMITED,done,499,218,
2026-07-19T17:30:14.514040,500093,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,done,723,409,
2026-07-19T17:30:20.348335,517174,HONEYWELL AUTOMATION INDIA LIMITED,done,354,103,
2026-07-19T17:30:26.001612,543573,Syrma SGS Technology Limited,done,369,243,
2026-07-19T17:30:43.564758,500510,LARSEN & TOUBRO LIMITED,done,922,505,
2026-07-19T17:30:53.834887,542141,Techno Electric and Engineering Company Limited,done,388,212,
2026-07-19T17:31:02.613538,541956,IRCON INTERNATIONAL LIMITED,done,485,233,
2026-07-19T17:31:11.619246,500092,CRISIL Limited,done,487,304,
2026-07-19T17:31:21.568555,540902,AMBER ENTERPRISES INDIA LIMITED,done,524,338,
2026-07-19T17:31:36.812726,531642,MARICO LIMITED,done,561,322,
2026-07-19T17:31:48.641025,500830,Colgate-Palmolive (India) Limited,done,614,189,
2026-07-19T17:31:57.270950,532809,FIRSTSOURCE SOLUTIONS LIMITED,done,552,359,
2026-07-19T17:32:09.013174,532541,COFORGE LIMITED,done,781,452,
2026-07-19T17:32:17.815034,532927,ECLERX SERVICES LTD.,done,560,333,
2026-07-19T17:32:26.862147,526299,Mphasis Limited,done,537,306,
2026-07-19T17:32:39.287093,500850,The Indian Hotels Company Limited,done,695,367,
2026-07-19T17:32:49.194901,540975,Aster DM Healthcare Limited,done,604,314,
2026-07-19T17:32:58.217635,543654,GLOBAL HEALTH LIMITED,done,560,427,
2026-07-19T17:33:08.444162,539551,Narayana Hrudayalaya Limited,done,509,291,
2026-07-19T17:33:18.150383,540173,PNB HOUSING FINANCE LIMITED,done,634,368,
2026-07-19T17:33:28.735301,533106,OIL INDIA LIMITED,done,533,210,
2026-07-19T17:33:36.984804,532522,PETRONET LNG LIMITED,done,401,172,
2026-07-19T17:33:50.383239,500188,Hindustan Zinc Limited,done,751,392,
2026-07-19T17:33:55.873247,531531,HATSUN AGRO PRODUCT LIMITED,done,362,92,
2026-07-19T17:34:04.017018,500790,Nestle India Limited,done,532,204,
2026-07-19T17:34:16.495810,500800,Tata Consumer Products Limited,done,774,294,
2026-07-19T17:34:21.818101,515055,ANANT RAJ LIMITED,done,379,170,
2026-07-19T17:34:32.636074,532929,Brigade Enterprises Limited,done,694,478,
2026-07-19T17:34:47.781800,503100,THE PHOENIX MILLS LIMITED,done,828,595,
2026-07-19T17:34:54.734776,543330,DEVYANI INTERNATIONAL LIMITED,done,399,246,
2026-07-19T17:35:05.854987,543720,KFIN TECHNOLOGIES LIMITED,done,627,273,
2026-07-19T17:35:09.821743,541557,Fine Organic Industries Limited,done,286,126,
2026-07-19T17:35:17.738719,500165,Kansai Nerolac Paints Limited,done,430,199,
2026-07-19T17:35:24.553008,542812,Gujarat Fluorochemicals Limited,done,449,172,
2026-07-19T17:35:43.383979,500710,Akzo Nobel India Limited,done,789,192,
2026-07-19T17:35:50.352607,500252,LMW LIMITED,done,373,152,
2026-07-19T17:36:12.928922,533293,KIRLOSKAR OIL ENGINES LIMITED,done,887,459,
2026-07-19T17:36:26.170800,500002,ABB India Limited,done,456,251,
2026-07-19T17:36:41.986953,543299,SHYAM METALICS AND ENERGY LIMITED,done,566,313,
2026-07-19T17:36:57.828887,504614,Sarda Energy & Minerals Limited,done,484,134,
2026-07-19T17:37:11.454711,532286,JINDAL STEEL & POWER LIMITED,done,574,244,
2026-07-19T17:37:23.004814,534816,INDUS TOWERS LIMITED,done,489,212,
2026-07-19T17:37:40.643792,521064,TRIDENT LIMITED,done,577,228,
2026-07-19T17:37:45.961666,532181,GUJARAT MINERALS DEVELOPMENT CORPORATION LIMITED,done,229,93,
2026-07-19T17:37:57.719411,500163,GODFREY PHILLIPS INDIA LIMITED,done,385,137,
2026-07-19T17:38:09.508438,543064,SUVEN PHARMACEUTICALS LIMITED,done,480,223,
2026-07-19T17:38:21.674978,532939,RELIANCE POWER LIMITED,done,504,134,
2026-07-19T17:38:36.562910,513683,NLC India Limited,done,648,327,
2026-07-19T17:38:45.418496,542066,Adani Total Gas Limited,done,369,129,
2026-07-19T17:39:01.053440,533098,NHPC LIMITED,done,514,155,
