BSE Code,Company Name,Industry
542752,AFFLE (INDIA) LIMITED,Advertising Agencies
542011,Gareden Reach Shipbuilders & Engineers Limited,Aerospace & Defense
500049,Bharat Electronics Limited,Aerospace & Defense
540678,COCHIN SHIPYARD LIMITED,Aerospace & Defense
543530,PARADEEP PHOSPHATES LIMITED,Agricultural Inputs
506285,BAYER CROPSCIENCE LIMITED,Agricultural Inputs
500125,E.I.D.- PARRY (INDIA) LIMITED,Agricultural Inputs
543238,UTI Asset Management Company Limited,Asset Management
543415,Anand Rathi Wealth Limited,Asset Management
500266,Maharashtra Scooters Limited,Asset Management
500570,Tata Motors Limited,Auto Manufacturers
500520,MAHINDRA & MAHINDRA LIMITED,Auto Manufacturers
500182,HERO MOTOCORP LIMITED,Auto Manufacturers
543300,SONA BLW PRECISION FORGINGS LIMITED,Auto Parts
520056,TVS Holdings Limited,Auto Parts
543276,CRAFTSMAN AUTOMATION LIMITED,Auto Parts
500493,BHARAT FORGE LIMITED,Auto Parts
500877,Apollo Tyres Limited,Auto Parts
500530,BOSCH LIMITED,Auto Parts
532648,YES BANK LIMITED,Banks - Regional
500180,HDFC BANK LIMITED,Banks - Regional
500469,THE FEDERAL BANK LIMITED,Banks - Regional
532477,UNIONBANK,Banks - Regional
532497,RADICO KHAITAN LIMITED,Beverages - Wineries & Distilleries
543334,NUVOCO VISTAS CORPORATION LIMITED,Building Materials
500425,AMBUJA CEMENTS LIMITED,Building Materials
500410,ACC LIMITED,Building Materials
500233,KAJARIA CERAMICS LIMITED,Building Products & Equipment
509930,The Supreme Industries Limited,Building Products & Equipment
543235,Angel One Limited,Capital Markets
506401,Deepak Nitrite Limited,Chemicals
500645,Deepak Fertilisers and Petrochemicals Corporation Limited,Chemicals
500164,Godrej Industries Limited,Conglomerates
503806,SRF LIMITED,Conglomerates
500034,BAJAJ FINANCE LIMITED,Credit Services
500106,IFCI Limited,Credit Services
532636,IIFL FINANCE LIMITED,Credit Services
543257,INDIAN RAILWAY FINANCE CORPORATION LIMITED,Credit Services
511243,CHOLAMANDALM INVESTMENT AND FINANCE COMPANY LIMITED,Credit Services
543663,Five-Star Business Finance Limited,Credit Services
539268,Syngene International Limited,Diagnostics & Research
543245,GLAND PHARMA LIMITED,Drug Manufacturers - Specialty & Generic
539523,ALKEM LABORATORIES LIMITED,Drug Manufacturers - Specialty & Generic
533573,Alembic Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic
524715,Sun Pharmaceutical Industries Limited,Drug Manufacturers - Specialty & Generic
540596,Eris Lifesciences Limited,Drug Manufacturers - Specialty & Generic
506943,JB Chemicals & Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic
532300,Wockhardt Limited,Drug Manufacturers - Specialty & Generic
543187,HITACHI ENERGY INDIA LIMITED,Electrical Equipment & Parts
500093,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,Electrical Equipment & Parts
517174,HONEYWELL AUTOMATION INDIA LIMITED,Electrical Equipment & Parts
543573,Syrma SGS Technology Limited,Electronic Components
500510,LARSEN & TOUBRO LIMITED,Engineering & Construction
542141,Techno Electric and Engineering Company Limited,Engineering & Construction
541956,IRCON INTERNATIONAL LIMITED,Engineering & Construction
500092,CRISIL Limited,Financial Data & Stock Exchanges
540902,AMBER ENTERPRISES INDIA LIMITED,"Furnishings, Fixtures & Appliances"
531642,MARICO LIMITED,Household & Personal Products
500830,Colgate-Palmolive (India) Limited,Household & Personal Products
532809,FIRSTSOURCE SOLUTIONS LIMITED,Information Technology Services
532541,COFORGE LIMITED,Information Technology Services
532927,ECLERX SERVICES LTD.,Information Technology Services
526299,Mphasis Limited,Information Technology Services
500850,The Indian Hotels Company Limited,Lodging
540975,Aster DM Healthcare Limited,Medical Care Facilities
543654,GLOBAL HEALTH LIMITED,Medical Care Facilities
539551,Narayana Hrudayalaya Limited,Medical Care Facilities
540173,PNB HOUSING FINANCE LIMITED,Mortgage Finance
533106,OIL INDIA LIMITED,Oil & Gas Integrated
500325,RELIANCE INDUSTRIES LIMITED,Oil & Gas Refining & Marketing
532522,PETRONET LNG LIMITED,Oil & Gas Refining & Marketing
500188,Hindustan Zinc Limited,Other Industrial Metals & Mining
531531,HATSUN AGRO PRODUCT LIMITED,Packaged Foods
500790,Nestle India Limited,Packaged Foods
500800,Tata Consumer Products Limited,Packaged Foods
515055,ANANT RAJ LIMITED,Real Estate - Development
532929,Brigade Enterprises Limited,Real Estate - Development
503100,THE PHOENIX MILLS LIMITED,Real Estate - Diversified
543330,DEVYANI INTERNATIONAL LIMITED,Restaurants
543720,KFIN TECHNOLOGIES LIMITED,Software - Application
541557,Fine Organic Industries Limited,Specialty Chemicals
500165,Kansai Nerolac Paints Limited,Specialty Chemicals
542812,Gujarat Fluorochemicals Limited,Specialty Chemicals
500710,Akzo Nobel India Limited,Specialty Chemicals
500252,LMW LIMITED,Specialty Industrial Machinery
533293,KIRLOSKAR OIL ENGINES LIMITED,Specialty Industrial Machinery
500002,ABB India Limited,Specialty Industrial Machinery
543299,SHYAM METALICS AND ENERGY LIMITED,Steel
504614,Sarda Energy & Minerals Limited,Steel
532286,JINDAL STEEL & POWER LIMITED,Steel
534816,INDUS TOWERS LIMITED,Telecom Services
521064,TRIDENT LIMITED,Textile Manufacturing
532181,GUJARAT MINERALS DEVELOPMENT CORPORATION LIMITED,Thermal Coal
500163,GODFREY PHILLIPS INDIA LIMITED,Tobacco
543064,SUVEN PHARMACEUTICALS LIMITED,Unclassified
543320,ZOMATO LIMITED,Unclassified
532939,RELIANCE POWER LIMITED,Utilities - Independent Power Producers
513683,NLC India Limited,Utilities - Regulated Electric
542066,Adani Total Gas Limited,Utilities - Regulated Gas
533098,NHPC LIMITED,Utilities - Renewable
